variable,type,threshold_min,threshold_max
refusal,target,,
loginId,extra,,
request_date,extra,,
refusalReason,extra,,
gender,categorical,,
dob,extra,,
account_age_days,numeric,,
count_nsf_90_days,numeric,,
count_nsf_30_days,numeric,,
count_stop_payment_90_days,numeric,,
sum_micro_loan_payments_current_month,numeric,,
sum_micro_loan_payments_previous_month,numeric,,10000
sum_micro_loan_payments_2_months_ago,numeric,-5000,
recurring_deposits_current_month,numeric,,
recurring_deposits_previous_month,numeric,,
recurring_deposits_2_months_ago,numeric,,
count_active_days,numeric,,
sum_total_income_current_month,numeric,,
sum_total_income_previous_month,numeric,,
sum_total_income_2_months_ago,numeric,,
sum_loan_payments_current_month,numeric,,
sum_loan_payments_previous_month,numeric,,
sum_loan_payments_2_months_ago,numeric,,
sum_loan_deposits_30_days,numeric,,
sum_loan_deposits_60_days,numeric,,
sum_loan_deposits_90_days,numeric,,
sum_government_income_current_month,numeric,,
sum_government_income_previous_month,numeric,,
sum_government_income_2_months_ago,numeric,,
sum_employment_insurance_income_current_month,numeric,,
sum_employment_insurance_income_previous_month,numeric,,
sum_employment_insurance_income_2_months_ago,numeric,,
sum_employer_income_current_month,numeric,,
sum_employer_income_previous_month,numeric,,
sum_employer_income_2_months_ago,numeric,,
sum_disability_income_current_month,numeric,,
sum_disability_income_previous_month,numeric,,
sum_disability_income_2_months_ago,numeric,,
average_monthly_recurring_transfers_in_complex,numeric,,
average_monthly_recurring_transfers_out_complex,numeric,,
